Quadrante 0
Generation,Nevals,Min,Avg,Shift distance violations,Consecutive shift violations
1,62,1680.0,1959.6,168,281
2,65,1500.0,1811.4,150,278
3,78,1480.0,1707.8,148,274
4,59,1360.0,1586.4,136,268
5,65,1340.0,1492.4,134,283
6,70,1260.0,1425.2,126,306
7,73,1200.0,1355.4,120,287
8,60,1180.0,1300.6,118,273
9,67,1160.0,1248.4,116,275
10,74,1100.0,1198.4,110,250
11,72,1100.0,1165.4,110,250
12,73,1040.0,1140.4,104,254
13,66,1020.0,1108.6,102,261
14,74,1000.0,1069.4,100,254
15,71,980.0,1037.4,98,262
16,70,980.0,1017.0,98,261
17,62,900.0,998.4,90,248
18,66,880.0,986.0,88,257
19,68,860.0,951.2,86,246
20,72,840.0,908.8,84,256
21,70,840.0,879.0,84,260
22,67,820.0,860.6,82,248
23,70,800.0,843.6,80,247
24,66,780.0,829.4,78,247
25,57,780.0,810.4,78,246
26,70,780.0,798.0,78,245
27,74,760.0,789.2,76,246
28,68,760.0,781.4,76,245
29,72,740.0,777.2,74,243
30,56,720.0,767.2,72,241
31,71,720.0,758.6,72,241
32,73,700.0,749.0,70,244
33,68,700.0,730.0,70,244
34,72,700.0,716.6,70,241
35,75,700.0,706.4,70,242
36,66,660.0,700.8,66,240
37,70,660.0,698.8,66,240
38,60,660.0,693.0,66,239
39,69,640.0,676.6,64,240
40,67,640.0,661.2,64,240
41,69,640.0,656.0,64,240
42,75,620.0,644.8,62,238
43,63,620.0,638.6,62,238
44,74,600.0,630.6,60,237
45,72,600.0,620.2,60,236
46,79,580.0,613.0,58,237
47,72,580.0,601.4,58,236
48,71,560.0,593.6,56,236
49,73,520.0,578.6,52,236
50,78,500.0,565.0,50,236
51,66,500.0,541.0,50,235
52,73,500.0,516.8,50,236
53,73,500.0,501.8,50,236
54,67,500.0,500.4,50,235
55,69,500.0,500.4,50,234
56,74,500.0,501.2,50,236
57,67,480.0,499.8,48,233
58,63,480.0,499.4,48,233
59,68,460.0,497.6,46,235
60,69,440.0,487.0,44,235
