Latitude-longitude information,Name 
-25.7439423 -53.05581240000001,Caixa Econômica Federal
-25.7454765 -53.0551928,Panificadora Yohanna
-25.7427704 -53.0547125,Officina Bar
-25.74667 -53.05465629999999,Doutor Chopp DV
-25.7458454 -53.0540275,ARRAZUS
-25.7439152 -53.05474719999999,Padoka Café
-25.74593 -53.05279899999999,Loja e Mecânica Dois Tempos - STIHL
-25.746416 -53.0523414,CLEAN SERVICE - Higienização a Seco de Estofados
-25.7426744 -53.0552034,Mecânica Center
-25.743444 -53.055691,PeBlue - Pijama Infantil
-25.7462868 -53.0549117,Hiperfarma
-25.7435287 -53.05462470000001,MAQCON
-25.7461698 -53.0550974,CCR Jeans
-25.744661 -53.05563429999999,Farmácias Nissei
-25.7458938 -53.0554153,Pacci Odontologia
-25.7469401 -53.0537448,Vizzari Odontologia
-25.7431332 -53.0555701,Clínica Expressão
-25.7436164 -53.0558363,Farmácia Santo Antônio FARMAUTIL
-25.7462868 -53.0549117,Boaretto & Serraglio
-25.7455731 -53.0551464,SL Móveis
-25.7468014 -53.052459,Franquia Linx - J A Softwares - Loja de Informática
-25.746836 -53.05236,Loja Softwares - automação comercial em 12x
-25.7443709 -53.0546338,Felipe Informatica
-25.7448894 -53.0553183,Funerária Santo Antônio
-25.7415082 -53.05544130000001,Posto Dois Vizinhos
-25.7448424 -53.05548169999999,kairos Auto Posto
-25.7440488 -53.05508189999999,Criativa Aviamentos
-25.744505 -53.0557666,Advocacia Mazurana
-25.745 -53.0552778,New Brunella Lanchonete & Sorveteria
-25.7425821 -53.0550939,Bom Gosto
-25.742346 -53.05032850000001,Estacionamento CISS 3
-25.7416375 -53.05503639999999,Agrícola Verdes Campos
-25.7466213 -53.0545558,Farmácia Brava
-25.7449172 -53.0556728,Farmácia Preço Baixo
-25.7445769 -53.0554088,Pharmacia São João Norte
-25.7445126 -53.0555359,Farmácia Ultra Descontão
-25.7438485 -53.0555561,Farmácia São João
-25.7429596 -53.0557777,Farmácia Bonafarma
-25.740834 -53.0503962,Carlos Alexandre Castanha - Fisioterapia - Dois Vizinhos - Fisioterapeuta - Geral e domiciliar
-25.7422137 -53.05514819999999,|Realize Imóveis - Venda, Locação e Avaliação|
-25.7463488 -53.0545172,Defaveri Corretor de Imóveis
-25.7467227 -53.05389549999999,Chaplin Restaurante E Pizzaria
-25.7467894 -53.0545137,Coutopé Calçados
-25.7469334 -53.0542601,Surek Calçados
-25.745579 -53.05192470000001,Clínica de Estética Mônica Cadore
-25.7443863 -53.0544044,Casa De Frios Dois Vizinhos
-25.7421106 -53.05566469999999,MERCADO FELINI
-25.7460386 -53.0545957,GADO & CIA Agropecuária
