Latitude-longitude information,Name 
12.5822647 -81.692562,Bancolombia Cajero
12.578272 -81.699196,Cajero Automático Banco de Bogotá
12.5808581 -81.6934749,Heladera Bread Fruit
12.5819678 -81.6969505,Panaderia y bizcocheria Martha
12.5797007 -81.70272589999999,panaderia la bombonier
12.5804521 -81.6938397,Icetex
12.581326 -81.704477,Cajero Automático Red Aval
12.5812904 -81.6927739,Coffee Break
12.5811605 -81.69318729999999,Millennium Rent a Car
12.5811131 -81.6937535,|Martinez Renta Autos, San Andrés Islas|
12.5804681 -81.69592449999999,America Rent A Car
12.5808994 -81.6983934,Taller Mr. Morgan
12.5805397 -81.6975526,iglesia Tabernaculo Apostolico de Fe
12.579957 -81.7027011,Iglesia Centro Familiar de Alabanza (CFA) - Asambleas de Dios
12.5798895 -81.69810179999999,Misión Bautista Central Vida Triunfante
12.5797757 -81.6986043,Iglesia Bautista Central
12.5786307 -81.70080639999999,Iglesia Bautista Mision Luz Y Vida
12.5779684 -81.70208989999999,Iglesia Adventista Del Séptimo Día Central
12.5794285 -81.7047848,Iglesia Cristiana Evangélica Palabra De Vida
12.5821867 -81.6927316,Nickelodeon Store
12.5815848 -81.6923023,AZULU XL
12.5821648 -81.6932209,Manawar Design House
12.5781022 -81.7000601,Juzgados De Infancia Y Adolecencia
12.581704 -81.6937566,CrediDent
12.5787173 -81.69856399999999,E.P.S Sanitas
12.582096 -81.69599,Rebaja No. 1 San Andres Islas Calle Proveedora
12.5817855 -81.6936607,Cocoweb
12.581066 -81.694049,Farmacenter Drogueria & MiniMarket Av. Newball
12.5823774 -81.6934356,Almacen Multidigital
12.5815272 -81.6970187,3 LIONS
12.57872 -81.69814,Texaco
12.5806258 -81.6938484,Sun Gym Center
12.5781324 -81.70055459999999,Ferreteria Santa Catalina S.A.S
12.5809367 -81.69717639999999,Ferreteria
12.5794134 -81.6976152,Cerrajería El Llavero
12.5781516 -81.70437849999999,Ferreteria varon
12.5808104 -81.6940127,Interstate 80's Toys
12.58078 -81.69511,Artesanías Y Pasajes
12.5819154 -81.6964066,Modista Ibeth isla SAN Andres
12.581863 -81.69674959999999,Proveedora Colombia
12.580331 -81.69777549999999,Multisystem
12.5820799 -81.70015219999999,ferreteria y materiales Mercado
12.582098 -81.702518,Soto Garcia
12.5795957 -81.6974986,Contraloria Occre
12.5766945 -81.7026508,Blue Almond Hostel
12.5779965 -81.701494,Posada Nativa Lizard House
12.580921 -81.697367,Viajero Hostel San Andres & Suites
12.5800404 -81.6952871,Sunrise Park
12.57529 -81.69462,Cotton Cay
12.5777043 -81.7011844,Parque de Los Almendros
12.5809741 -81.6940314,Farmacenter Las Américas 2
12.5821903 -81.69458159999999,Drogueria Juventud
12.5819193 -81.6972086,Farmacia La Rebaja
12.5822197 -81.70282949999999,CAI Juan 23 policia nacional
12.5819157 -81.70484189999999,On Vacation Sea Horse All inclusive
12.5788323 -81.6983133,Subway
12.5821304 -81.69220090000002,Fayah Artesanal
12.581363 -81.6924748,Barracuda Restaurant
12.5767459 -81.70460539999999,Colegio Sagrada Familia
12.5798702 -81.6963127,Muelle de la policia
12.5781304 -81.6995582,Sena
12.5783287 -81.7012671,Colegio Cajasai
12.5816196 -81.69249289999999,Skechers San Andres
12.5813804 -81.7007746,Bodega Inversiones Aramburo Santamari
12.5780729 -81.7023741,Healthy Body Peluqueria y Spa
12.5798954 -81.6998603,Estadio de Baseball Eduardo Castro
12.5803613 -81.7012431,Edwin Football Stadium O'neil
12.5823144 -81.6926506,FACTORY
12.5813843 -81.6927541,Supermercado La Barracuda
12.5815601 -81.6968223,Micall Tour Agency Super Market
12.5819278 -81.6972742,Food Place (Sector Proveedoras)
12.581822 -81.698218,Distribuidora Los Paisas
12.5803804 -81.69812759999999,Supermercado Super Popular
12.5817472 -81.701449,Alternativas Comerciales Sai Ltda
12.5787462 -81.70338029999999,Mercamas Del Caribe
12.5804767 -81.69242390000001,Muelle Portofino
12.579836 -81.69361599999999,San Andres
12.5820519 -81.6921473,Autokar
12.5781984 -81.7035652,PetSai
