Quadrante 0
Generation,Nevals,Min,Avg,Shift distance violations,Consecutive shift violations
1,69,620.0,820.3,62,330
2,70,580.0,726.7,58,293
3,67,500.0,654.0,50,306
4,69,420.0,596.4,42,288
5,62,360.0,531.0,36,309
6,62,360.0,466.0,36,320
7,65,360.0,404.0,36,319
8,71,340.0,368.4,34,309
9,68,340.0,359.5,34,313
10,65,340.0,354.6,34,314
11,58,340.0,343.2,34,310
12,71,340.0,340.6,34,309
13,63,340.0,340.0,34,309
14,53,340.0,340.2,34,309
15,75,340.0,340.4,34,310
16,67,340.0,340.0,34,308
17,70,340.0,340.4,34,309
18,66,340.0,340.0,34,312
19,70,340.0,340.5,34,313
20,64,340.0,340.2,34,308
21,72,340.0,340.6,34,308
22,72,340.0,340.0,34,309
23,66,320.0,340.0,32,305
24,58,320.0,339.6,32,310
25,65,320.0,335.4,32,303
26,66,320.0,326.4,32,310
27,73,320.0,320.2,32,308
28,74,300.0,320.2,30,308
29,73,300.0,319.2,30,308
30,75,300.0,316.8,30,310
31,70,300.0,306.0,30,311
32,72,300.0,300.4,30,309
33,72,300.0,300.4,30,309
34,71,300.0,300.2,30,309
35,63,300.0,300.6,30,307
36,65,300.0,300.4,30,307
37,73,300.0,300.2,30,305
38,71,300.0,300.4,30,308
39,67,300.0,300.2,30,307
40,76,300.0,300.4,30,307
41,79,300.0,300.2,30,309
42,66,300.0,300.2,30,306
43,69,300.0,300.4,30,305
44,65,280.0,300.4,28,305
45,72,280.0,299.4,28,305
46,61,280.0,297.6,28,305
47,67,280.0,288.2,28,307
48,54,280.0,280.0,28,303
49,68,280.0,280.4,28,305
50,65,260.0,280.2,26,302
51,68,260.0,279.0,26,305
52,75,260.0,274.8,26,307
53,72,240.0,264.4,24,302
54,74,240.0,259.0,24,302
55,68,240.0,251.0,24,305
56,67,240.0,240.6,24,302
57,72,240.0,240.2,24,301
58,69,240.0,240.2,24,303
59,64,240.0,240.0,24,301
60,71,240.0,240.0,24,302
61,68,240.0,240.2,24,304
62,75,240.0,240.2,24,305
63,73,220.0,240.0,22,302
64,69,220.0,239.2,22,302
