Latitude-longitude information,Name 
-22.9293783 -43.1750199,AstutoyCastro
-22.9284085 -43.1742846,Ms Transporte Executivo & Fretamento
-22.9263086 -43.1764875,Tec Ban
-22.9263163 -43.1764887,Santander
-22.927537 -43.177084,Santander ATM
-22.9311747 -43.1784245,Santander
-22.9315639 -43.1779324,Extra Supermarket
-22.9326015 -43.1783641,Bradesco Prime
-22.9325156 -43.1771,Agência Itaú
-22.930021 -43.17788299999999,Empório Macedônia
-22.932274 -43.179133,Fábrica de Bolo Vó Alzira
-22.936959 -43.1776048,Casa do Pão
-22.9360825 -43.1756053,Bela Guanabara
-22.93527779999999 -43.1786111,Panificação Paissandu
-22.9271241 -43.1795463,Padaria Nova Viriato
-22.9277778 -43.1791667,French bread and Co.
-22.931926 -43.1746649,Santander
-22.9385356 -43.1783297,Agência Itaú
-22.935133 -43.17443849999999,Boteco Belmonte
-22.9265499 -43.1768162,D & L Coiffeur
-22.9283645 -43.1773455,Styllu's Coiffeur
-22.931953 -43.177037,Jupter II Cabeleireiros
-22.9276032 -43.1771561,Jac's Cabeleireiros
-22.93118519999999 -43.1782656,Pello Out
-22.9267505 -43.17891669999999,Salão Novo Visual Cabeleireiros Unissex
-22.9332044 -43.17605489999999,FREE BIKE
-22.9261269 -43.1768541,Papelaria Catete
-22.9283333 -43.17944440000001,Lanchonete & Livraria Shalom
-22.931935 -43.177268,Livraria Galileu
-22.93024609999999 -43.1783381,JLM - Stationery Largo do Machado Garden
-22.9319552 -43.1768411,Livraria Espírita Joanna De Ângelis
-22.9283676 -43.17671000000001,Beta de Aquarius - Livraria e Sebo
-22.9270717 -43.17377020000001,Epicentro Editora e Distribuidora de livros Ltda
-22.9296112 -43.1775902,Café Hum - Largo do Machado
-22.928006 -43.175478,Armazém Carmelo
-22.9307023 -43.177104,Cine Café & Bistrô
-22.9363968 -43.1745004,Casa de Arte e Cultura Julieta de Serpa
-22.9266576 -43.1794721,MKR Automóveis
