Latitude-longitude information,Name 
12.581326 -81.704477,Cajero Automático Banco de Bogotá
12.5797007 -81.70272589999999,panaderia la bombonier
12.5791382 -81.7032138,Janthenliv Sas
12.5781524 -81.7042237,Panaderia Susani
12.5804521 -81.6938397,Icetex
12.5821218 -81.6965568,Distribudora de lubricantes SAI S.A.S
12.5789242 -81.6990948,Chevron Lubricantes
12.5805397 -81.6975526,iglesia Tabernaculo Apostolico de Fe
12.579957 -81.7027011,Iglesia Centro Familiar de Alabanza (CFA) - Asambleas de Dios
12.5798895 -81.69810179999999,Misión Bautista Central Vida Triunfante
12.5789858 -81.69792009999999,Iglesia Universal del Reino de Dios
12.5797757 -81.6986043,Iglesia Bautista Central
12.5786307 -81.70080639999999,Iglesia Bautista Mision Luz Y Vida
12.57679 -81.70143569999999,Iglesa de Cristo
12.5779684 -81.70208989999999,Iglesia Adventista Del Séptimo Día Central
12.5821357 -81.6928634,Columbia sportswear company
12.5821648 -81.6932209,Manawar Design House
12.58117 -81.69216999999999,Orange
12.5818032 -81.702118,JUANCHO GOZALES DOIT CENTER
12.5816566 -81.69371,Centro medico insular
12.5817371 -81.6945191,Izilab Laboratorio Clinico
12.582096 -81.69599,Rebaja No. 1 San Andres Islas Calle Proveedora
12.5817855 -81.6936607,Cocoweb
12.581066 -81.694049,Farmacenter Drogueria & MiniMarket Av. Newball
12.581001 -81.69434,|Zeus Tecnologia S.A. || San Andrés|
12.581239 -81.6969343,SEGURICAMPC
12.5815272 -81.6970187,3 LIONS
12.57872 -81.69814,Texaco
12.581094 -81.6971677,Mirama Aragon Estética y Peluquería
12.5781324 -81.70055459999999,Ferreteria Santa Catalina S.A.S
12.5809367 -81.69717639999999,Ferreteria
12.5792786 -81.6988975,Eco Colors Supplies
12.582098 -81.702518,Soto Garcia
12.5795957 -81.6974986,Contraloria Occre
12.5812868 -81.6923681,Hotel Sea Flower
12.5766945 -81.7026508,Blue Almond Hostel
12.5779965 -81.701494,Posada Nativa Lizard House
12.5821304 -81.69220090000002,Parqueadero
12.5809741 -81.6940314,Farmacenter Las Américas 2
12.5821903 -81.69458159999999,Drogueria Juventud
12.5819193 -81.6972086,Farmacia La Rebaja
12.5812858 -81.6940231,Policía nacional
12.5822197 -81.70282949999999,CAI Juan 23 policia nacional
12.5819157 -81.70484189999999,On Vacation Sea Horse All inclusive
12.5788323 -81.6983133,Subway
12.5767459 -81.70460539999999,Colegio Sagrada Familia
12.5781304 -81.6995582,Sena
12.5791113 -81.7007994,Centro Educativo Sueños Alegres
12.5781023 -81.7032706,Casa Bioclimatica Coralina
12.5816196 -81.69249289999999,Skechers San Andres
12.5787822 -81.6999337,Edificio The Architects SCA
12.5780729 -81.7023741,Healthy Body Peluqueria y Spa
12.5823144 -81.6926506,FACTORY
12.5813843 -81.6927541,Supermercado La Barracuda
12.5815601 -81.6968223,Micall Tour Agency Super Market
12.5819278 -81.6972742,Food Place (Sector Proveedoras)
12.581822 -81.698218,Distribuidora Los Paisas
12.5803804 -81.69812759999999,Supermercado Super Popular
12.5817472 -81.701449,Alternativas Comerciales Sai Ltda
12.5787462 -81.70338029999999,Mercamas Del Caribe
12.5822338 -81.6930485,Morgan Cannon
12.5812214 -81.6925476,La Barracuda
12.5821016 -81.69676869999999,Fotos
12.579836 -81.69361599999999,San Andres
12.579091 -81.697645,Decameron - Punto de Venta
12.5820519 -81.6921473,Autokar
